inst                      ub
SBF2-0.25/wee-mag_c=37    60
SBF2-0.25/wee-mag_c=38    60
SBF2-0.25/wee-mag_c=39    60
SBF2-0.25/wee-mag_c=40    60
SBF2-0.25/wee-mag_c=41    59
SBF2-0.25/wee-mag_c=42    55
SBF2-0.25/wee-mag_c=43    50
SBF2-0.25/wee-mag_c=45    39
SBF2-0.25/wee-mag_c=46    35
SBF2-0.25/wee-mag_c=47    34
SBF2-0.25/wee-mag_c=49    33
SBF2-0.25/wee-mag_c=50    32
SBF2-0.25/wee-mag_c=52    32
SBF2-0.25/wee-mag_c=54    31
SBF2-0.25/wee-mag_c=56    31
SBF2-0.25/lutz2_c=11      49
SBF2-0.25/lutz2_c=12      46
SBF2-0.25/lutz2_c=13      41
SBF2-0.25/lutz2_c=14      39
SBF2-0.25/lutz2_c=15      34
SBF2-0.25/lutz2_c=16      32
SBF2-0.25/lutz2_c=17      30
SBF2-0.25/lutz2_c=18      28
SBF2-0.25/lutz2_c=19      27
SBF2-0.25/lutz2_c=20      26
SBF2-0.25/lutz2_c=21      24
SBF2-0.25/lutz3_c=75      24
SBF2-0.25/lutz3_c=79      22
SBF2-0.25/lutz3_c=83      21
SBF2-0.25/lutz3_c=87      20
SBF2-0.25/lutz3_c=92      19
SBF2-0.25/lutz3_c=97      18
SBF2-0.25/lutz3_c=103     17
SBF2-0.25/lutz3_c=110     16
SBF2-0.25/lutz3_c=118     15
SBF2-0.25/lutz3_c=127     14
SBF2-0.25/lutz3_c=137     13
SBF2-0.25/lutz3_c=150     12
SBF2-0.25/mukherje_c=176  26
SBF2-0.25/mukherje_c=183  25
SBF2-0.25/mukherje_c=192  24
SBF2-0.25/mukherje_c=201  23
SBF2-0.25/mukherje_c=211  22
SBF2-0.25/mukherje_c=222  21
SBF2-0.25/mukherje_c=234  19
SBF2-0.25/mukherje_c=248  18
SBF2-0.25/mukherje_c=263  17
SBF2-0.25/mukherje_c=281  16
SBF2-0.25/mukherje_c=301  15
SBF2-0.25/mukherje_c=324  14
SBF2-0.25/mukherje_c=351  13
SBF2-0.25/barthold_c=403  15
SBF2-0.25/barthold_c=434  14
SBF2-0.25/barthold_c=470  13
SBF2-0.25/barthold_c=513  12
SBF2-0.25/barthold_c=564  11
SBF2-0.25/barthold_c=626  10
SBF2-0.25/barthold_c=705  9
SBF2-0.25/barthold_c=805  8
SBF2-0.25/barthol2_c=84   54
SBF2-0.25/barthol2_c=85   53
SBF2-0.25/barthol2_c=87   52
SBF2-0.25/barthol2_c=89   51
SBF2-0.25/barthol2_c=91   49
SBF2-0.25/barthol2_c=93   49
SBF2-0.25/barthol2_c=95   48
SBF2-0.25/barthol2_c=97   47
SBF2-0.25/barthol2_c=99   46
SBF2-0.25/barthol2_c=101  44
SBF2-0.25/barthol2_c=104  43
SBF2-0.25/barthol2_c=106  42
SBF2-0.25/barthol2_c=109  41
SBF2-0.25/barthol2_c=112  40
SBF2-0.25/barthol2_c=115  39
SBF2-0.25/barthol2_c=118  38
SBF2-0.25/barthol2_c=121  37
SBF2-0.25/barthol2_c=125  36
SBF2-0.25/barthol2_c=129  35
SBF2-0.25/barthol2_c=133  34
SBF2-0.25/barthol2_c=137  33
SBF2-0.25/barthol2_c=142  32
SBF2-0.25/barthol2_c=146  31
SBF2-0.25/barthol2_c=152  29
SBF2-0.25/barthol2_c=157  28
SBF2-0.25/barthol2_c=163  27
SBF2-0.25/barthol2_c=170  26
SBF2-0.25/scholl_c=1394   53
SBF2-0.25/scholl_c=1422   52
SBF2-0.25/scholl_c=1452   51
SBF2-0.25/scholl_c=1483   50
SBF2-0.25/scholl_c=1515   49
SBF2-0.25/scholl_c=1548   47
SBF2-0.25/scholl_c=1584   46
SBF2-0.25/scholl_c=1620   45
SBF2-0.25/scholl_c=1659   44
SBF2-0.25/scholl_c=1699   43
SBF2-0.25/scholl_c=1742   42
SBF2-0.25/scholl_c=1787   41
SBF2-0.25/scholl_c=1834   40
SBF2-0.25/scholl_c=1883   39
SBF2-0.25/scholl_c=1935   38
SBF2-0.25/scholl_c=1991   37
SBF2-0.25/scholl_c=2049   36
SBF2-0.25/scholl_c=2111   35
SBF2-0.25/scholl_c=2177   34
SBF2-0.25/scholl_c=2247   33
SBF2-0.25/scholl_c=2322   32
SBF2-0.25/scholl_c=2402   30
SBF2-0.25/scholl_c=2488   29
SBF2-0.25/scholl_c=2580   28
SBF2-0.25/scholl_c=2680   27
SBF2-0.25/scholl_c=2787   26
SBF2-0.50/bowman8_c=20    5
SBF2-0.50/mansoor_c=48    4
SBF2-0.50/mansoor_c=62    3
SBF2-0.50/mansoor_c=94    2
SBF2-0.50/mertens_c=6     6
SBF2-0.50/mertens_c=7     5
SBF2-0.50/mertens_c=8     5
SBF2-0.50/mertens_c=10    3
SBF2-0.50/mertens_c=15    2
SBF2-0.50/mertens_c=18    2
SBF2-0.50/jaeschke_c=6    8
SBF2-0.50/jaeschke_c=7    7
SBF2-0.50/jaeschke_c=8    6
SBF2-0.50/jaeschke_c=10   4
SBF2-0.50/jaeschke_c=18   3
SBF2-0.50/jackson_c=7     8
SBF2-0.50/jackson_c=9     6
SBF2-0.50/jackson_c=10    5
SBF2-0.50/jackson_c=13    4
SBF2-0.50/jackson_c=14    4
SBF2-0.50/jackson_c=21    3
SBF2-0.50/mitchell_c=14   8
SBF2-0.50/mitchell_c=15   8
SBF2-0.50/mitchell_c=21   5
SBF2-0.50/mitchell_c=26   5
SBF2-0.50/mitchell_c=35   3
SBF2-0.50/mitchell_c=39   3
SBF2-0.50/heskia_c=138    8
SBF2-0.50/heskia_c=205    6
SBF2-0.50/heskia_c=216    5
SBF2-0.50/heskia_c=256    4
SBF2-0.50/heskia_c=324    4
SBF2-0.50/heskia_c=342    3
SBF2-0.50/sawyer30_c=25   14
SBF2-0.50/sawyer30_c=27   13
SBF2-0.50/sawyer30_c=30   12
SBF2-0.50/sawyer30_c=36   10
SBF2-0.50/sawyer30_c=41   9
SBF2-0.50/sawyer30_c=54   7
SBF2-0.50/sawyer30_c=75   5
SBF2-0.50/kilbrid_c=57    11
SBF2-0.50/kilbrid_c=79    8
SBF2-0.50/kilbrid_c=92    7
SBF2-0.50/kilbrid_c=110   6
SBF2-0.50/kilbrid_c=138   4
SBF2-0.50/kilbrid_c=184   4
SBF2-0.50/Tonge70_c=176   22
SBF2-0.50/tonge70_c=364   10
SBF2-0.50/tonge70_c=410   9
SBF2-0.50/tonge70_c=468   8
SBF2-0.50/tonge70_c=527   7
SBF2-0.50/Arc83_c=5048    17
SBF2-0.50/arc83_c=5853    14
SBF2-0.50/arc83_c=6842    12
SBF2-0.50/Arc83_c=7571    11
