inst,elapsed,alg,lb,ub,blb
mp/BARTHOL2.IN2_TS0.75_EJ3,1.809178742,S_hoffmann/cbfs,26,26,26
mp/BARTHOL2.IN2_TS0.75_EJ4,9.60934622,S_hoffmann/cbfs,46,46,46
mp/BARTHOL2.IN2_TS0.75_EJ5,0.411854542,S_hoffmann/cbfs,28,28,28
mp/BARTHOL2.IN2_TS0.75_EJ6,5.059645184,S_hoffmann/cbfs,28,28,28
mp/BARTHOL2.IN2_TS0.75_EJ7,0.510368903,S_hoffmann/cbfs,31,31,31
mp/BARTHOL2.IN2_TS0.75_EJ8,18.029416022,S_hoffmann/cbfs,36,36,36
mp/BARTHOL2.IN2_TS0.75_EJ9,125.010071357,S_hoffmann/cbfs,43,44,43
mp/BARTHOL2.IN2_TS0.75-med_EJ1,139.023329496,S_hoffmann/cbfs,34,37,34
mp/BARTHOL2.IN2_TS0.75-med_EJ10,139.023032574,S_hoffmann/cbfs,26,27,26
mp/BARTHOL2.IN2_TS0.75-med_EJ2,138.055975243,S_hoffmann/cbfs,36,39,36
mp/BARTHOL2.IN2_TS0.75-med_EJ3,139.022763152,S_hoffmann/cbfs,26,28,26
mp/BARTHOL2.IN2_TS0.75-med_EJ4,139.022976867,S_hoffmann/cbfs,46,50,46
mp/BARTHOL2.IN2_TS0.75-med_EJ5,138.021618063,S_hoffmann/cbfs,40,45,40
mp/BARTHOL2.IN2_TS0.75-med_EJ6,139.005323223,S_hoffmann/cbfs,43,48,43
mp/BARTHOL2.IN2_TS0.75-med_EJ7,139.004067683,S_hoffmann/cbfs,32,34,32
mp/BARTHOL2.IN2_TS0.75-med_EJ8,138.026601028,S_hoffmann/cbfs,27,28,27
mp/BARTHOL2.IN2_TS0.75-med_EJ9,135.028346957,S_hoffmann/cbfs,54,57,54
mp/BARTHOLD.IN2_TS0.25_EJ1,0.731751065,S_hoffmann/cbfs,14,14,14
mp/BARTHOLD.IN2_TS0.25_EJ10,1.200858846,S_hoffmann/cbfs,9,9,9
mp/BARTHOLD.IN2_TS0.25_EJ2,158.24102811,S_hoffmann/cbfs,13,14,13
mp/BARTHOLD.IN2_TS0.25_EJ3,0.904264271,S_hoffmann/cbfs,12,12,12
mp/BARTHOLD.IN2_TS0.25_EJ4,1.086025121,S_hoffmann/cbfs,9,9,9
mp/BARTHOLD.IN2_TS0.25_EJ5,1.842530381,S_hoffmann/cbfs,8,8,8
mp/BARTHOLD.IN2_TS0.25_EJ6,1.717817134,S_hoffmann/cbfs,8,8,8
mp/BARTHOLD.IN2_TS0.25_EJ7,1.832595036,S_hoffmann/cbfs,8,8,8
mp/BARTHOLD.IN2_TS0.25_EJ8,2.766812639,S_hoffmann/cbfs,8,8,8
mp/BARTHOLD.IN2_TS0.25_EJ9,1.157765741,S_hoffmann/cbfs,8,8,8
mp/BARTHOLD.IN2_TS0.25-med_EJ1,17.004600719,S_hoffmann/cbfs,8,8,8
mp/BARTHOLD.IN2_TS0.25-med_EJ10,39.986192537,S_hoffmann/cbfs,11,12,11
mp/BARTHOLD.IN2_TS0.25-med_EJ2,17.00214871,S_hoffmann/cbfs,8,8,8
mp/BARTHOLD.IN2_TS0.25-med_EJ3,16.003893233,S_hoffmann/cbfs,10,10,10
mp/BARTHOLD.IN2_TS0.25-med_EJ4,18.002974132,S_hoffmann/cbfs,8,8,8
mp/BARTHOLD.IN2_TS0.25-med_EJ5,16.002807671,S_hoffmann/cbfs,10,10,10
mp/BARTHOLD.IN2_TS0.25-med_EJ6,18.712444062,S_hoffmann/cbfs,13,13,13
mp/BARTHOLD.IN2_TS0.25-med_EJ7,18.345963521,S_hoffmann/cbfs,12,12,12
mp/BARTHOLD.IN2_TS0.25-med_EJ8,15.005171255,S_hoffmann/cbfs,11,11,11
mp/BARTHOLD.IN2_TS0.25-med_EJ9,19.077765624,S_hoffmann/cbfs,10,10,10
mp/BARTHOLD.IN2_TS0.75_EJ1,12.008133212,S_hoffmann/cbfs,9,9,9
mp/BARTHOLD.IN2_TS0.75_EJ10,1.34562122,S_hoffmann/cbfs,13,13,13
mp/BARTHOLD.IN2_TS0.75_EJ2,2.092460315,S_hoffmann/cbfs,14,14,14
mp/BARTHOLD.IN2_TS0.75_EJ3,2.708376164,S_hoffmann/cbfs,14,14,14
mp/BARTHOLD.IN2_TS0.75_EJ4,2.472869742,S_hoffmann/cbfs,13,13,13
mp/BARTHOLD.IN2_TS0.75_EJ5,1.737977186,S_hoffmann/cbfs,13,13,13
mp/BARTHOLD.IN2_TS0.75_EJ6,3.25246834,S_hoffmann/cbfs,11,11,11
mp/BARTHOLD.IN2_TS0.75_EJ7,12.00711868,S_hoffmann/cbfs,8,8,8
mp/BARTHOLD.IN2_TS0.75_EJ8,12.003496534,S_hoffmann/cbfs,8,8,8
mp/BARTHOLD.IN2_TS0.75_EJ9,3.651752859,S_hoffmann/cbfs,11,11,11
mp/BARTHOLD.IN2_TS0.75-med_EJ1,17.002590618,S_hoffmann/cbfs,8,8,8
mp/BARTHOLD.IN2_TS0.75-med_EJ10,140.004714213,S_hoffmann/cbfs,13,14,13
mp/BARTHOLD.IN2_TS0.75-med_EJ2,140.001384552,S_hoffmann/cbfs,9,10,9
mp/BARTHOLD.IN2_TS0.75-med_EJ3,22.607636387,S_hoffmann/cbfs,8,8,8
mp/BARTHOLD.IN2_TS0.75-med_EJ4,139.007672355,S_hoffmann/cbfs,11,12,11
mp/BARTHOLD.IN2_TS0.75-med_EJ5,138.016049356,S_hoffmann/cbfs,14,15,14
mp/BARTHOLD.IN2_TS0.75-med_EJ6,140.002997256,S_hoffmann/cbfs,9,10,9
mp/BARTHOLD.IN2_TS0.75-med_EJ7,140.007525277,S_hoffmann/cbfs,9,10,9
mp/BARTHOLD.IN2_TS0.75-med_EJ8,141.012000575,S_hoffmann/cbfs,9,10,9
mp/BARTHOLD.IN2_TS0.75-med_EJ9,23.180449565,S_hoffmann/cbfs,11,11,11
mp/HAHN.IN2_TS0.25_EJ1,0.01651676,S_hoffmann/cbfs,6,6,6
mp/HAHN.IN2_TS0.25_EJ10,0.032941929,S_hoffmann/cbfs,5,5,5
mp/HAHN.IN2_TS0.25_EJ2,0.018009019,S_hoffmann/cbfs,4,4,4
mp/HAHN.IN2_TS0.25_EJ3,0.017433476,S_hoffmann/cbfs,5,5,5
mp/HAHN.IN2_TS0.25_EJ4,0.019828057,S_hoffmann/cbfs,8,8,8
mp/HAHN.IN2_TS0.25_EJ5,0.025290778,S_hoffmann/cbfs,4,4,4
mp/HAHN.IN2_TS0.25_EJ6,0.01050948,S_hoffmann/cbfs,4,4,4
mp/HAHN.IN2_TS0.25_EJ7,0.01190603,S_hoffmann/cbfs,4,4,4
mp/HAHN.IN2_TS0.25_EJ8,0.017266006,S_hoffmann/cbfs,5,5,5
mp/HAHN.IN2_TS0.25_EJ9,0.013081694,S_hoffmann/cbfs,4,4,4
mp/HAHN.IN2_TS0.25-med_EJ1,0.193816091,S_hoffmann/cbfs,5,5,5
mp/HAHN.IN2_TS0.25-med_EJ10,0.251641453,S_hoffmann/cbfs,9,9,9
mp/HAHN.IN2_TS0.25-med_EJ2,0.280281407,S_hoffmann/cbfs,4,4,4
mp/HAHN.IN2_TS0.25-med_EJ3,0.017663525,S_hoffmann/cbfs,5,5,5
mp/HAHN.IN2_TS0.25-med_EJ4,0.244297849,S_hoffmann/cbfs,8,8,8
mp/HAHN.IN2_TS0.25-med_EJ5,0.080813854,S_hoffmann/cbfs,4,4,4
mp/HAHN.IN2_TS0.25-med_EJ6,0.218263049,S_hoffmann/cbfs,5,5,5
mp/HAHN.IN2_TS0.25-med_EJ7,0.234805992,S_hoffmann/cbfs,4,4,4
mp/HAHN.IN2_TS0.25-med_EJ8,0.203574118,S_hoffmann/cbfs,5,5,5
mp/HAHN.IN2_TS0.25-med_EJ9,0.242625906,S_hoffmann/cbfs,6,6,6
mp/HAHN.IN2_TS0.75_EJ1,0.019237793,S_hoffmann/cbfs,5,5,5
