set,alpha,inst,n,lm1,lms1,lm2,lm3,lm4
SBF2,0.50,Tonge70_c=220,70,16,16,7,9,16
SBF2,0.50,Tonge70_c=234,70,15,15,7,8,15
SBF2,0.50,Tonge70_c=251,70,14,14,6,7,14
SBF2,0.50,Tonge70_c=270,70,13,13,4,5,13
SBF2,0.50,Tonge70_c=293,70,12,12,2,4,12
SBF2,0.50,Tonge70_c=320,70,11,11,0,4,11
SBF2,0.50,tonge70_c=364,70,10,10,0,3,10
SBF2,0.50,tonge70_c=410,70,9,9,0,2,9
SBF2,0.50,tonge70_c=468,70,8,8,0,1,8
SBF2,0.50,tonge70_c=527,70,7,7,0,0,7
SBF2,0.50,warnecke_c=104,58,15,15,3,9,15
SBF2,0.50,warnecke_c=111,58,14,14,0,8,14
SBF2,0.50,warnecke_c=54,58,30,30,26,26,30
SBF2,0.50,warnecke_c=56,58,29,29,26,24,29
SBF2,0.50,warnecke_c=58,58,28,28,25,24,28
SBF2,0.50,warnecke_c=60,58,27,27,24,24,27
SBF2,0.50,warnecke_c=62,58,26,26,24,24,26
SBF2,0.50,warnecke_c=65,58,24,24,24,23,24
SBF2,0.50,warnecke_c=68,58,23,23,19,21,23
SBF2,0.50,warnecke_c=71,58,22,22,16,18,22
SBF2,0.50,warnecke_c=74,58,21,21,14,17,21
SBF2,0.50,warnecke_c=78,58,20,20,13,15,20
SBF2,0.50,warnecke_c=82,58,19,19,13,13,19
SBF2,0.50,warnecke_c=86,58,18,18,11,13,18
SBF2,0.50,warnecke_c=92,58,17,17,7,12,17
SBF2,0.50,warnecke_c=97,58,16,16,6,12,16
SBF2,0.50,wee-mag_c=28,75,56,56,61,63,56
SBF2,0.50,wee-mag_c=29,75,53,53,61,63,53
SBF2,0.50,wee-mag_c=30,75,51,51,61,62,51
SBF2,0.50,wee-mag_c=31,75,49,49,60,62,49
SBF2,0.50,wee-mag_c=32,75,48,48,60,57,48
SBF2,0.50,wee-mag_c=33,75,46,46,60,51,46
SBF2,0.50,wee-mag_c=34,75,45,45,60,47,45
SBF2,0.50,wee-mag_c=35,75,43,43,60,43,43
SBF2,0.50,wee-mag_c=36,75,42,42,60,41,42
SBF2,0.50,wee-mag_c=37,75,41,41,60,40,41
SBF2,0.50,wee-mag_c=38,75,40,40,60,35,40
SBF2,0.50,wee-mag_c=39,75,39,39,60,33,39
SBF2,0.50,wee-mag_c=40,75,38,38,60,32,38
SBF2,0.50,wee-mag_c=41,75,37,37,59,31,37
SBF2,0.50,wee-mag_c=42,75,36,36,55,31,36
SBF2,0.50,wee-mag_c=43,75,35,35,50,31,36
SBF2,0.50,wee-mag_c=45,75,34,34,31,31,34
SBF2,0.50,wee-mag_c=46,75,33,33,27,30,33
SBF2,0.50,wee-mag_c=47,75,32,32,23,30,32
SBF2,0.50,wee-mag_c=49,75,31,31,17,30,31
SBF2,0.50,wee-mag_c=50,75,30,30,13,30,30
SBF2,0.50,wee-mag_c=52,75,29,29,5,30,29
SBF2,0.50,wee-mag_c=54,75,28,28,1,30,28
SBF2,0.50,wee-mag_c=56,75,27,27,0,30,27
SBF2,0.75,Arc111_c=10027,111,15,15,4,7,15
SBF2,0.75,Arc111_c=10743,111,14,14,2,4,14
SBF2,0.75,arc111_c=11378,111,14,14,1,4,14
SBF2,0.75,Arc111_c=11570,111,13,13,0,4,13
SBF2,0.75,Arc111_c=17067,111,9,9,0,1,9
SBF2,0.75,arc111_c=5755,111,27,27,18,21,27
SBF2,0.75,Arc111_c=5785,111,26,26,17,21,27
SBF2,0.75,Arc111_c=6016,111,26,26,15,18,26
SBF2,0.75,Arc111_c=6267,111,24,24,14,17,25
SBF2,0.75,Arc111_c=6540,111,23,23,13,17,24
SBF2,0.75,Arc111_c=6837,111,22,22,12,15,23
SBF2,0.75,Arc111_c=7162,111,22,22,8,13,22
SBF2,0.75,Arc111_c=7520,111,20,20,8,13,20
SBF2,0.75,Arc111_c=7916,111,19,19,8,12,19
SBF2,0.75,Arc111_c=8356,111,18,18,5,10,18
SBF2,0.75,arc111_c=8847,111,17,17,5,9,17
SBF2,0.75,Arc111_c=9400,111,16,16,5,7,16
SBF2,0.75,arc83_c=10816,83,7,7,0,1,7
SBF2,0.75,Arc83_c=3786,83,21,21,5,9,21
SBF2,0.75,Arc83_c=3985,83,20,20,5,6,20
SBF2,0.75,Arc83_c=4206,83,19,19,4,6,19
SBF2,0.75,Arc83_c=4454,83,17,17,4,6,18
SBF2,0.75,Arc83_c=4732,83,17,17,3,6,17
SBF2,0.75,Arc83_c=5048,83,15,15,3,5,16
SBF2,0.75,Arc83_c=5408,83,15,15,2,4,15
SBF2,0.75,Arc83_c=5824,83,14,14,1,3,14
SBF2,0.75,arc83_c=5853,83,13,13,1,3,14
SBF2,0.75,Arc83_c=6309,83,13,13,1,2,13
SBF2,0.75,arc83_c=6842,83,12,12,1,2,12
SBF2,0.75,Arc83_c=6883,83,12,12,1,2,12
SBF2,0.75,Arc83_c=7571,83,11,11,0,2,11
SBF2,0.75,arc83_c=8412,83,10,10,0,1,10
SBF2,0.75,arc83_c=8898,83,9,9,0,1,9
SBF2,0.75,barthol2_c=101,148,42,42,20,27,42
SBF2,0.75,barthol2_c=104,148,41,41,18,25,41
SBF2,0.75,barthol2_c=106,148,40,40,16,24,40
SBF2,0.75,barthol2_c=109,148,39,39,15,24,39
SBF2,0.75,barthol2_c=112,148,38,38,13,23,38
SBF2,0.75,barthol2_c=115,148,37,37,13,23,37
SBF2,0.75,barthol2_c=118,148,36,36,12,21,36
SBF2,0.75,barthol2_c=121,148,35,35,12,18,35
SBF2,0.75,barthol2_c=125,148,34,34,11,16,34
SBF2,0.75,barthol2_c=129,148,33,33,8,15,33
SBF2,0.75,barthol2_c=133,148,32,32,7,15,32
SBF2,0.75,barthol2_c=137,148,31,31,7,15,31
SBF2,0.75,barthol2_c=142,148,30,30,6,11,30
SBF2,0.75,barthol2_c=146,148,29,29,6,10,29
SBF2,0.75,barthol2_c=152,148,28,28,6,10,28
SBF2,0.75,barthol2_c=157,148,27,27,4,9,27
SBF2,0.75,barthol2_c=163,148,26,26,1,8,26
SBF2,0.75,barthol2_c=170,148,25,25,0,7,25
SBF2,0.75,barthol2_c=84,148,51,51,31,39,51
SBF2,0.75,barthol2_c=85,148,50,50,30,38,50
SBF2,0.75,barthol2_c=87,148,49,49,30,37,49
SBF2,0.75,barthol2_c=89,148,48,48,30,36,48
SBF2,0.75,barthol2_c=91,148,47,47,29,35,47
SBF2,0.75,barthol2_c=93,148,46,46,27,34,46
SBF2,0.75,barthol2_c=95,148,45,45,22,33,45
SBF2,0.75,barthol2_c=97,148,44,44,20,29,44
SBF2,0.75,barthol2_c=99,148,43,43,20,28,43
SBF2,0.75,barthold_c=403,148,14,14,2,5,14
SBF2,0.75,barthold_c=434,148,13,13,2,4,13
SBF2,0.75,barthold_c=470,148,12,12,2,3,12
SBF2,0.75,barthold_c=513,148,11,11,2,2,11
SBF2,0.75,barthold_c=564,148,10,10,1,2,10
SBF2,0.75,barthold_c=626,148,9,9,1,1,9
SBF2,0.75,barthold_c=705,148,8,8,1,1,8
SBF2,0.75,barthold_c=805,148,7,7,0,1,7
SBF2,0.75,bowman8_c=20,8,5,5,4,4,5
SBF2,0.75,buxey_c=27,29,13,13,12,12,13
SBF2,0.75,buxey_c=30,29,11,11,8,9,11
SBF2,0.75,buxey_c=33,29,10,10,5,7,11
SBF2,0.75,buxey_c=36,29,9,9,4,7,9
SBF2,0.75,buxey_c=41,29,8,8,2,6,8
SBF2,0.75,buxey_c=47,29,7,7,1,4,7
SBF2,0.75,buxey_c=54,29,6,6,0,2,6
SBF2,0.75,gunther_c=41,35,12,12,12,12,13
SBF2,0.75,gunther_c=44,35,11,11,11,10,11
SBF2,0.75,gunther_c=49,35,10,10,7,8,10
SBF2,0.75,gunther_c=54,35,9,9,7,8,9
SBF2,0.75,gunther_c=61,35,8,8,2,6,8
SBF2,0.75,gunther_c=69,35,7,7,2,5,8
SBF2,0.75,gunther_c=81,35,6,6,0,4,7
SBF2,0.75,hahn_c=2004,53,8,8,5,4,8
SBF2,0.75,hahn_c=2338,53,7,7,3,3,7
SBF2,0.75,hahn_c=2806,53,5,5,2,3,5
SBF2,0.75,hahn_c=3507,53,5,5,1,2,5
SBF2,0.75,hahn_c=4676,53,4,4,0,1,4
SBF2,0.75,heskia_c=138,28,8,8,5,7,8
SBF2,0.75,heskia_c=205,28,5,5,2,3,5
SBF2,0.75,heskia_c=216,28,5,5,1,2,5
SBF2,0.75,heskia_c=256,28,4,4,0,2,4
SBF2,0.75,heskia_c=324,28,4,4,0,1,4
SBF2,0.75,heskia_c=342,28,3,3,0,0,3
SBF2,0.75,jackson_c=10,11,5,5,5,4,5
SBF2,0.75,jackson_c=13,11,4,4,1,3,4
SBF2,0.75,jackson_c=14,11,4,4,1,3,4
SBF2,0.75,jackson_c=21,11,3,3,0,1,3
SBF2,0.75,jackson_c=7,11,8,8,7,8,8
SBF2,0.75,jackson_c=9,11,6,6,6,5,6
SBF2,0.75,jaeschke_c=10,9,4,4,3,4,4
SBF2,0.75,jaeschke_c=18,9,3,3,0,1,3
SBF2,0.75,jaeschke_c=6,9,8,8,8,8,8
SBF2,0.75,jaeschke_c=7,9,6,6,7,6,6
SBF2,0.75,jaeschke_c=8,9,5,5,6,5,6
SBF2,0.75,kilbrid_c=110,45,6,6,1,1,6
SBF2,0.75,kilbrid_c=111,45,5,5,0,1,5
SBF2,0.75,kilbrid_c=138,45,4,4,0,1,4
SBF2,0.75,kilbrid_c=184,45,3,3,0,0,3
SBF2,0.75,kilbrid_c=56,45,10,10,2,6,10
SBF2,0.75,kilbrid_c=57,45,10,10,2,6,10
SBF2,0.75,kilbrid_c=62,45,9,9,1,4,9
SBF2,0.75,kilbrid_c=69,45,8,8,1,3,8
SBF2,0.75,kilbrid_c=79,45,7,7,1,2,7
SBF2,0.75,kilbrid_c=92,45,6,6,1,1,6
SBF2,0.75,lutz1_c=1414,32,11,11,2,6,11
SBF2,0.75,lutz1_c=1572,32,10,10,2,5,10
SBF2,0.75,lutz1_c=1768,32,9,9,1,4,9
SBF2,0.75,lutz1_c=2020,32,8,8,1,3,8
SBF2,0.75,lutz1_c=2357,32,7,7,1,1,7
SBF2,0.75,lutz1_c=2828,32,6,6,0,1,6
SBF2,0.75,lutz2_c=11,89,47,47,44,45,47
SBF2,0.75,lutz2_c=12,89,42,42,40,41,42
SBF2,0.75,lutz2_c=13,89,39,39,35,36,39
SBF2,0.75,lutz2_c=14,89,36,36,31,32,36
SBF2,0.75,lutz2_c=15,89,33,33,26,27,33
SBF2,0.75,lutz2_c=16,89,31,31,22,23,31
SBF2,0.75,lutz2_c=17,89,29,29,17,22,29
SBF2,0.75,lutz2_c=18,89,27,27,13,21,27
SBF2,0.75,lutz2_c=19,89,26,26,8,18,26
SBF2,0.75,lutz2_c=20,89,25,25,4,18,25
SBF2,0.75,lutz2_c=21,89,24,24,0,16,24
SBF2,0.75,lutz3_c=103,89,16,16,3,5,17
SBF2,0.75,lutz3_c=110,89,15,15,3,5,15
SBF2,0.75,lutz3_c=118,89,14,14,3,3,14
SBF2,0.75,lutz3_c=127,89,13,13,2,2,13
SBF2,0.75,lutz3_c=137,89,13,13,1,2,13
SBF2,0.75,lutz3_c=150,89,11,11,0,2,11
SBF2,0.75,lutz3_c=75,89,22,22,8,12,23
SBF2,0.75,lutz3_c=79,89,21,21,5,11,21
SBF2,0.75,lutz3_c=83,89,20,20,5,10,20
SBF2,0.75,lutz3_c=87,89,19,19,4,9,20
SBF2,0.75,lutz3_c=92,89,18,18,4,8,18
SBF2,0.75,lutz3_c=97,89,17,17,3,6,17
SBF2,0.75,mansoor_c=48,11,4,4,3,3,4
SBF2,0.75,mansoor_c=62,11,3,3,3,2,3
SBF2,0.75,mansoor_c=94,11,2,2,0,2,2
SBF2,0.75,mertens_c=10,7,3,3,3,3,3
SBF2,0.75,mertens_c=15,7,2,2,0,2,2
SBF2,0.75,mertens_c=18,7,2,2,0,1,2
SBF2,0.75,mertens_c=6,7,6,6,6,6,6
SBF2,0.75,mertens_c=7,7,5,5,5,5,5
SBF2,0.75,mertens_c=8,7,5,5,5,4,5
SBF2,0.75,mitchell_c=14,21,8,8,5,6,8
SBF2,0.75,mitchell_c=15,21,8,8,4,6,8
SBF2,0.75,mitchell_c=21,21,5,5,1,3,5
SBF2,0.75,mitchell_c=26,21,5,5,1,2,5
SBF2,0.75,mitchell_c=35,21,3,3,0,1,3
SBF2,0.75,mitchell_c=39,21,3,3,0,1,3
SBF2,0.75,mukherje_c=176,94,25,25,10,15,25
SBF2,0.75,mukherje_c=183,94,24,24,10,15,24
SBF2,0.75,mukherje_c=192,94,22,22,8,12,23
SBF2,0.75,mukherje_c=201,94,21,21,8,11,22
SBF2,0.75,mukherje_c=211,94,20,20,7,10,21
SBF2,0.75,mukherje_c=222,94,19,19,7,9,20
SBF2,0.75,mukherje_c=234,94,18,18,4,7,19
SBF2,0.75,mukherje_c=248,94,17,17,3,6,18
SBF2,0.75,mukherje_c=263,94,16,16,3,5,17
SBF2,0.75,mukherje_c=281,94,15,15,3,5,16
SBF2,0.75,mukherje_c=301,94,14,14,2,4,15
SBF2,0.75,mukherje_c=324,94,13,13,1,4,14
SBF2,0.75,mukherje_c=351,94,12,12,0,2,13
SBF2,0.75,roszieg_c=14,25,9,9,6,7,10
SBF2,0.75,roszieg_c=16,25,8,8,4,4,8
SBF2,0.75,roszieg_c=18,25,7,7,2,4,8
SBF2,0.75,roszieg_c=21,25,6,6,1,4,6
SBF2,0.75,roszieg_c=25,25,5,5,1,2,6
SBF2,0.75,roszieg_c=32,25,4,4,0,1,4
SBF2,0.75,sawyer30_c=25,30,13,13,12,12,13
SBF2,0.75,sawyer30_c=27,30,13,13,12,11,13
SBF2,0.75,sawyer30_c=30,30,11,11,8,9,11
SBF2,0.75,Sawyer30_c=33,30,10,10,5,7,10
SBF2,0.75,sawyer30_c=36,30,9,9,4,7,9
SBF2,0.75,sawyer30_c=41,30,8,8,2,6,8
SBF2,0.75,Sawyer30_c=47,30,7,7,1,4,7
SBF2,0.75,sawyer30_c=54,30,6,6,0,2,6
SBF2,0.75,sawyer30_c=75,30,5,5,0,1,5
SBF2,0.75,scholl_c=1394,297,50,50,13,15,50
SBF2,0.75,scholl_c=1422,297,49,49,13,14,49
SBF2,0.75,scholl_c=1452,297,48,48,13,14,48
SBF2,0.75,scholl_c=1483,297,47,47,11,12,47
SBF2,0.75,scholl_c=1515,297,46,46,11,12,46
SBF2,0.75,scholl_c=1548,297,45,45,11,11,45
SBF2,0.75,scholl_c=1584,297,44,44,10,10,44
SBF2,0.75,scholl_c=1620,297,43,43,10,9,43
SBF2,0.75,scholl_c=1659,297,42,42,10,9,42
SBF2,0.75,scholl_c=1699,297,41,41,9,9,41
SBF2,0.75,scholl_c=1742,297,40,40,8,9,40
SBF2,0.75,scholl_c=1787,297,39,39,6,9,39
SBF2,0.75,scholl_c=1834,297,38,38,5,8,38
SBF2,0.75,scholl_c=1883,297,37,37,5,8,37
SBF2,0.75,scholl_c=1935,297,36,36,5,8,36
SBF2,0.75,scholl_c=1991,297,35,35,4,8,35
SBF2,0.75,scholl_c=2049,297,34,34,3,8,34
SBF2,0.75,scholl_c=2111,297,33,33,2,7,33
SBF2,0.75,scholl_c=2177,297,32,32,2,7,32
SBF2,0.75,scholl_c=2247,297,31,31,2,6,31
SBF2,0.75,scholl_c=2322,297,30,30,2,6,30
SBF2,0.75,scholl_c=2402,297,29,29,2,5,29
SBF2,0.75,scholl_c=2488,297,28,28,2,5,28
SBF2,0.75,scholl_c=2580,297,27,27,2,5,27
SBF2,0.75,scholl_c=2680,297,26,26,1,3,26
SBF2,0.75,scholl_c=2787,297,25,25,0,3,25
SBF2,0.75,Tonge70_c=160,70,23,23,14,16,23
SBF2,0.75,Tonge70_c=168,70,21,21,13,15,21
SBF2,0.75,Tonge70_c=176,70,20,20,12,15,20
SBF2,0.75,Tonge70_c=185,70,19,19,9,14,19
SBF2,0.75,Tonge70_c=195,70,18,18,8,13,18
SBF2,0.75,Tonge70_c=207,70,17,17,7,11,17
SBF2,0.75,Tonge70_c=220,70,16,16,7,9,16
SBF2,0.75,Tonge70_c=234,70,15,15,7,8,15
SBF2,0.75,Tonge70_c=251,70,14,14,6,7,14
SBF2,0.75,Tonge70_c=270,70,13,13,4,5,13
SBF2,0.75,Tonge70_c=293,70,12,12,2,4,12
SBF2,0.75,Tonge70_c=320,70,11,11,0,4,11
SBF2,0.75,tonge70_c=364,70,10,10,0,3,10
SBF2,0.75,tonge70_c=410,70,9,9,0,2,9
SBF2,0.75,tonge70_c=468,70,8,8,0,1,8
SBF2,0.75,tonge70_c=527,70,7,7,0,0,7
SBF2,0.75,warnecke_c=104,58,15,15,3,9,15
SBF2,0.75,warnecke_c=111,58,14,14,0,8,14
SBF2,0.75,warnecke_c=54,58,30,30,26,26,30
SBF2,0.75,warnecke_c=56,58,29,29,26,24,29
SBF2,0.75,warnecke_c=58,58,28,28,25,24,28
SBF2,0.75,warnecke_c=60,58,27,27,24,24,27
SBF2,0.75,warnecke_c=62,58,26,26,24,24,26
SBF2,0.75,warnecke_c=65,58,24,24,24,23,24
SBF2,0.75,warnecke_c=68,58,23,23,19,21,23
SBF2,0.75,warnecke_c=71,58,22,22,16,18,22
SBF2,0.75,warnecke_c=74,58,21,21,14,17,21
SBF2,0.75,warnecke_c=78,58,20,20,13,15,20
SBF2,0.75,warnecke_c=82,58,19,19,13,13,19
SBF2,0.75,warnecke_c=86,58,18,18,11,13,18
SBF2,0.75,warnecke_c=92,58,17,17,7,12,17
SBF2,0.75,warnecke_c=97,58,16,16,6,12,16
SBF2,0.75,wee-mag_c=28,75,56,56,61,63,56
SBF2,0.75,wee-mag_c=29,75,54,54,61,63,54
SBF2,0.75,wee-mag_c=30,75,52,52,61,62,52
SBF2,0.75,wee-mag_c=31,75,50,50,60,62,50
SBF2,0.75,wee-mag_c=32,75,48,48,60,57,48
SBF2,0.75,wee-mag_c=33,75,46,46,60,51,46
SBF2,0.75,wee-mag_c=34,75,45,45,60,47,45
SBF2,0.75,wee-mag_c=35,75,43,43,60,43,43
SBF2,0.75,wee-mag_c=36,75,42,42,60,41,42
SBF2,0.75,wee-mag_c=37,75,41,41,60,40,41
SBF2,0.75,wee-mag_c=38,75,40,40,60,35,40
SBF2,0.75,wee-mag_c=39,75,39,39,60,33,39
SBF2,0.75,wee-mag_c=40,75,38,38,60,32,38
SBF2,0.75,wee-mag_c=41,75,37,37,59,31,37
SBF2,0.75,wee-mag_c=42,75,36,36,55,31,36
SBF2,0.75,wee-mag_c=43,75,35,35,50,31,36
SBF2,0.75,wee-mag_c=45,75,34,34,31,31,34
SBF2,0.75,wee-mag_c=46,75,33,33,27,30,33
SBF2,0.75,wee-mag_c=47,75,32,32,23,30,32
SBF2,0.75,wee-mag_c=49,75,31,31,17,30,31
SBF2,0.75,wee-mag_c=50,75,30,30,13,30,30
SBF2,0.75,wee-mag_c=52,75,29,29,5,30,29
SBF2,0.75,wee-mag_c=54,75,28,28,1,30,28
SBF2,0.75,wee-mag_c=56,75,27,27,0,30,27
SBF2,1.00,Arc111_c=10027,111,15,15,4,7,15
SBF2,1.00,Arc111_c=10743,111,14,14,2,4,14
SBF2,1.00,arc111_c=11378,111,14,14,1,4,14
SBF2,1.00,Arc111_c=11570,111,13,13,0,4,13
SBF2,1.00,Arc111_c=17067,111,9,9,0,1,9
SBF2,1.00,arc111_c=5755,111,27,27,18,21,27
SBF2,1.00,Arc111_c=5785,111,26,26,17,21,27
SBF2,1.00,Arc111_c=6016,111,26,26,15,18,26
SBF2,1.00,Arc111_c=6267,111,24,24,14,17,25
SBF2,1.00,Arc111_c=6540,111,23,23,13,17,24
SBF2,1.00,Arc111_c=6837,111,22,22,12,15,23
SBF2,1.00,Arc111_c=7162,111,22,22,8,13,22
SBF2,1.00,Arc111_c=7520,111,20,20,8,13,20
SBF2,1.00,Arc111_c=7916,111,19,19,8,12,19
SBF2,1.00,Arc111_c=8356,111,18,18,5,10,18
SBF2,1.00,arc111_c=8847,111,17,17,5,9,17
SBF2,1.00,Arc111_c=9400,111,16,16,5,7,16
SBF2,1.00,arc83_c=10816,83,7,7,0,1,7
SBF2,1.00,Arc83_c=3786,83,21,21,5,9,21
SBF2,1.00,Arc83_c=3985,83,20,20,5,6,20
SBF2,1.00,Arc83_c=4206,83,19,19,4,6,19
SBF2,1.00,Arc83_c=4454,83,17,17,4,6,18
SBF2,1.00,Arc83_c=4732,83,17,17,3,6,17
SBF2,1.00,Arc83_c=5048,83,15,15,3,5,16
SBF2,1.00,Arc83_c=5408,83,15,15,2,4,15
SBF2,1.00,Arc83_c=5824,83,14,14,1,3,14
SBF2,1.00,arc83_c=5853,83,13,13,1,3,14
SBF2,1.00,Arc83_c=6309,83,13,13,1,2,13
SBF2,1.00,arc83_c=6842,83,12,12,1,2,12
SBF2,1.00,Arc83_c=6883,83,12,12,1,2,12
SBF2,1.00,Arc83_c=7571,83,11,11,0,2,11
SBF2,1.00,arc83_c=8412,83,10,10,0,1,10
SBF2,1.00,arc83_c=8898,83,9,9,0,1,9
SBF2,1.00,barthol2_c=101,148,42,42,20,27,42
SBF2,1.00,barthol2_c=104,148,41,41,18,25,41
SBF2,1.00,barthol2_c=106,148,40,40,16,24,40
SBF2,1.00,barthol2_c=109,148,39,39,15,24,39
SBF2,1.00,barthol2_c=112,148,38,38,13,23,38
SBF2,1.00,barthol2_c=115,148,37,37,13,23,37
SBF2,1.00,barthol2_c=118,148,36,36,12,21,36
SBF2,1.00,barthol2_c=121,148,35,35,12,18,35
SBF2,1.00,barthol2_c=125,148,34,34,11,16,34
SBF2,1.00,barthol2_c=129,148,33,33,8,15,33
SBF2,1.00,barthol2_c=133,148,32,32,7,15,32
SBF2,1.00,barthol2_c=137,148,31,31,7,15,31
SBF2,1.00,barthol2_c=142,148,30,30,6,11,30
SBF2,1.00,barthol2_c=146,148,29,29,6,10,29
SBF2,1.00,barthol2_c=152,148,28,28,6,10,28
SBF2,1.00,barthol2_c=157,148,27,27,4,9,27
SBF2,1.00,barthol2_c=163,148,26,26,1,8,26
SBF2,1.00,barthol2_c=170,148,25,25,0,7,25
SBF2,1.00,barthol2_c=84,148,51,51,31,39,51
SBF2,1.00,barthol2_c=85,148,50,50,30,38,50
SBF2,1.00,barthol2_c=87,148,49,49,30,37,49
SBF2,1.00,barthol2_c=89,148,48,48,30,36,48
SBF2,1.00,barthol2_c=91,148,47,47,29,35,47
SBF2,1.00,barthol2_c=93,148,46,46,27,34,46
SBF2,1.00,barthol2_c=95,148,45,45,22,33,45
SBF2,1.00,barthol2_c=97,148,44,44,20,29,44
SBF2,1.00,barthol2_c=99,148,43,43,20,28,43
SBF2,1.00,barthold_c=403,148,14,14,2,5,14
SBF2,1.00,barthold_c=434,148,13,13,2,4,13
SBF2,1.00,barthold_c=470,148,12,12,2,3,12
SBF2,1.00,barthold_c=513,148,11,11,2,2,11
SBF2,1.00,barthold_c=564,148,10,10,1,2,10
SBF2,1.00,barthold_c=626,148,9,9,1,1,9
SBF2,1.00,barthold_c=705,148,8,8,1,1,8
SBF2,1.00,barthold_c=805,148,7,7,0,1,7
SBF2,1.00,bowman8_c=20,8,5,5,4,4,5
SBF2,1.00,buxey_c=27,29,13,13,12,12,13
SBF2,1.00,buxey_c=30,29,11,11,8,9,11
SBF2,1.00,buxey_c=33,29,10,10,5,7,11
SBF2,1.00,buxey_c=36,29,9,9,4,7,9
SBF2,1.00,buxey_c=41,29,8,8,2,6,8
SBF2,1.00,buxey_c=47,29,7,7,1,4,7
SBF2,1.00,buxey_c=54,29,6,6,0,2,6
SBF2,1.00,gunther_c=41,35,12,12,12,12,13
SBF2,1.00,gunther_c=44,35,11,11,11,10,11
SBF2,1.00,gunther_c=49,35,10,10,7,8,10
SBF2,1.00,gunther_c=54,35,9,9,7,8,9
SBF2,1.00,gunther_c=61,35,8,8,2,6,8
SBF2,1.00,gunther_c=69,35,7,7,2,5,8
SBF2,1.00,gunther_c=81,35,6,6,0,4,7
SBF2,1.00,hahn_c=2004,53,8,8,5,4,8
SBF2,1.00,hahn_c=2338,53,7,7,3,3,7
SBF2,1.00,hahn_c=2806,53,5,5,2,3,5
SBF2,1.00,hahn_c=3507,53,5,5,1,2,5
SBF2,1.00,hahn_c=4676,53,4,4,0,1,4
SBF2,1.00,heskia_c=138,28,8,8,5,7,8
SBF2,1.00,heskia_c=205,28,5,5,2,3,5
SBF2,1.00,heskia_c=216,28,5,5,1,2,5
SBF2,1.00,heskia_c=256,28,4,4,0,2,4
SBF2,1.00,heskia_c=324,28,4,4,0,1,4
SBF2,1.00,heskia_c=342,28,3,3,0,0,3
SBF2,1.00,jackson_c=10,11,5,5,5,4,5
SBF2,1.00,jackson_c=13,11,4,4,1,3,4
SBF2,1.00,jackson_c=14,11,4,4,1,3,4
SBF2,1.00,jackson_c=21,11,3,3,0,1,3
SBF2,1.00,jackson_c=7,11,7,7,7,8,7
SBF2,1.00,jackson_c=9,11,6,6,6,5,6
SBF2,1.00,jaeschke_c=10,9,4,4,3,4,4
SBF2,1.00,jaeschke_c=18,9,3,3,0,1,3
SBF2,1.00,jaeschke_c=6,9,8,8,8,8,8
SBF2,1.00,jaeschke_c=7,9,6,6,7,6,6
SBF2,1.00,jaeschke_c=8,9,5,5,6,5,6
SBF2,1.00,kilbrid_c=110,45,6,6,1,1,6
SBF2,1.00,kilbrid_c=111,45,5,5,0,1,5
SBF2,1.00,kilbrid_c=138,45,4,4,0,1,4
SBF2,1.00,kilbrid_c=184,45,3,3,0,0,3
SBF2,1.00,kilbrid_c=56,45,10,10,2,6,10
SBF2,1.00,kilbrid_c=57,45,10,10,2,6,10
SBF2,1.00,kilbrid_c=62,45,9,9,1,4,9
SBF2,1.00,kilbrid_c=69,45,8,8,1,3,8
SBF2,1.00,kilbrid_c=79,45,7,7,1,2,7
SBF2,1.00,kilbrid_c=92,45,6,6,1,1,6
SBF2,1.00,lutz1_c=1414,32,11,11,2,6,11
SBF2,1.00,lutz1_c=1572,32,10,10,2,5,10
SBF2,1.00,lutz1_c=1768,32,9,9,1,4,9
SBF2,1.00,lutz1_c=2020,32,8,8,1,3,8
SBF2,1.00,lutz1_c=2357,32,7,7,1,1,7
SBF2,1.00,lutz1_c=2828,32,6,6,0,1,6
SBF2,1.00,lutz2_c=11,89,47,47,44,45,47
SBF2,1.00,lutz2_c=12,89,42,42,40,41,42
SBF2,1.00,lutz2_c=13,89,39,39,35,36,39
SBF2,1.00,lutz2_c=14,89,36,36,31,32,36
SBF2,1.00,lutz2_c=15,89,33,33,26,27,33
SBF2,1.00,lutz2_c=16,89,31,31,22,23,31
SBF2,1.00,lutz2_c=17,89,29,29,17,22,29
SBF2,1.00,lutz2_c=18,89,27,27,13,21,27
SBF2,1.00,lutz2_c=19,89,26,26,8,18,26
SBF2,1.00,lutz2_c=20,89,25,25,4,18,25
SBF2,1.00,lutz2_c=21,89,24,24,0,16,24
SBF2,1.00,lutz3_c=103,89,16,16,3,5,17
SBF2,1.00,lutz3_c=110,89,15,15,3,5,15
SBF2,1.00,lutz3_c=118,89,14,14,3,3,14
SBF2,1.00,lutz3_c=127,89,13,13,2,2,13
SBF2,1.00,lutz3_c=137,89,13,13,1,2,13
SBF2,1.00,lutz3_c=150,89,11,11,0,2,11
SBF2,1.00,lutz3_c=75,89,22,22,8,12,23
SBF2,1.00,lutz3_c=79,89,21,21,5,11,21
SBF2,1.00,lutz3_c=83,89,20,20,5,10,20
SBF2,1.00,lutz3_c=87,89,19,19,4,9,20
SBF2,1.00,lutz3_c=92,89,18,18,4,8,18
